,side,result,P_W%,P_KDA,P_KP,P_GD10,P_XPD10,P_CSD10,P_DPM,C_P+B%,C_W%
4974,0,1,-6.0,-0.14000000000000057,4.599999999999994,-97.8,-17.200000000000003,-3.4399999999999995,-7.399999999999977,23.1,-1.6000000000000014
4975,1,0,6.0,0.14000000000000057,-4.599999999999994,97.8,17.200000000000003,3.4399999999999995,7.399999999999977,-23.1,1.6000000000000014
4976,0,1,-7.0,-0.12000000000000055,4.579999999999998,-89.80000000000001,-63.6,-4.0200000000000005,-9.199999999999989,7.439999999999991,-16.0
4977,1,0,7.0,0.12000000000000055,-4.579999999999998,89.80000000000001,63.6,4.0200000000000005,9.199999999999989,-7.439999999999991,16.0
4978,1,1,36.0,1.4,-1.4999999999999858,61.8,86.8,2.2,-2.6000000000000227,23.5,13.0
4979,0,0,-36.0,-1.4,1.4999999999999858,-61.8,-86.8,-2.2,2.6000000000000227,-23.5,-13.0
4980,0,1,17.599999999999994,1.2000000000000002,4.559999999999988,-39.599999999999994,-24.799999999999997,-0.20000000000000007,51.0,-3.9399999999999906,-5.399999999999999
4981,1,0,-17.599999999999994,-1.2000000000000002,-4.559999999999988,39.599999999999994,24.799999999999997,0.20000000000000007,-51.0,3.9399999999999906,5.399999999999999
4982,1,1,41.2,2.86,-2.200000000000003,124.2,134.4,4.319999999999999,81.0,23.059999999999995,6.0
4983,0,0,-41.2,-2.86,2.200000000000003,-124.2,-134.4,-4.319999999999999,-81.0,-23.059999999999995,-6.0
4984,1,1,2.0,0.019999999999999574,3.5600000000000094,-45.00000000000001,-35.599999999999994,-1.6800000000000002,24.400000000000034,-2.020000000000003,9.399999999999999
4985,0,0,-2.0,-0.019999999999999574,-3.5600000000000094,45.00000000000001,35.599999999999994,1.6800000000000002,-24.400000000000034,2.020000000000003,-9.399999999999999
4986,0,1,-6.599999999999994,0.43999999999999995,-1.5400000000000063,-34.400000000000006,14.6,2.6399999999999997,12.800000000000011,-1.940000000000012,3.799999999999997
4987,1,0,6.599999999999994,-0.43999999999999995,1.5400000000000063,34.400000000000006,-14.6,-2.6399999999999997,-12.800000000000011,1.940000000000012,-3.799999999999997
4988,1,1,44.0,1.5600000000000005,-5.499999999999993,152.0,164.0,4.0,56.599999999999966,16.039999999999992,11.0
4989,0,0,-44.0,-1.5600000000000005,5.499999999999993,-152.0,-164.0,-4.0,-56.599999999999966,-16.039999999999992,-11.0
4990,0,1,-46.2,-4.06,-1.420000000000016,-28.6,-78.2,1.2799999999999998,-56.80000000000001,-21.660000000000004,-25.599999999999994
4991,1,0,46.2,4.06,1.420000000000016,28.6,78.2,-1.2799999999999998,56.80000000000001,21.660000000000004,25.599999999999994
4992,1,1,-20.799999999999997,-1.4000000000000004,0.9200000000000017,-14.0,-98.2,-0.3599999999999999,-81.80000000000001,-13.899999999999999,5.199999999999996
4993,0,0,20.799999999999997,1.4000000000000004,-0.9200000000000017,14.0,98.2,0.3599999999999999,81.80000000000001,13.899999999999999,-5.199999999999996
4994,1,1,15.399999999999999,-0.2400000000000002,1.1599999999999966,-41.199999999999996,27.2,0.14000000000000012,28.19999999999999,-6.660000000000004,18.200000000000003
4995,0,0,-15.399999999999999,0.2400000000000002,-1.1599999999999966,41.199999999999996,-27.2,-0.14000000000000012,-28.19999999999999,6.660000000000004,-18.200000000000003
