gameid,league,year,split,date,playerid,side,position,player,team,champion,result,dragons,barons,towers,totalgold
TRKR1/480095,LCK,2015,Spring,2015-02-13 11:33:18,200,0,team,none,Jin Air Green Wings,none,0,0.0,0.0,1.0,47971
TRKR1/480121,LCK,2015,Spring,2015-02-14 07:54:16,100,1,team,none,NaJin e-mFire,none,1,0.0,1.0,9.0,80547
TRKR1/480121,LCK,2015,Spring,2015-02-14 07:54:16,200,0,team,none,Samsung Galaxy,none,0,0.0,1.0,6.0,71441
TRKR1/490112,LCK,2015,Spring,2015-02-14 09:24:34,100,1,team,none,Samsung Galaxy,none,1,0.0,1.0,7.0,75672
TRKR1/490112,LCK,2015,Spring,2015-02-14 09:24:34,200,0,team,none,NaJin e-mFire,none,0,0.0,1.0,10.0,74315
TRKR1/490114,LCK,2015,Spring,2015-02-14 10:30:21,100,1,team,none,Samsung Galaxy,none,0,0.0,0.0,5.0,68483
TRKR1/490114,LCK,2015,Spring,2015-02-14 10:30:21,200,0,team,none,NaJin e-mFire,none,1,0.0,3.0,11.0,86237
TRKR1/490129,LCK,2015,Spring,2015-02-14 12:10:47,100,1,team,none,SK Telecom T1,none,0,0.0,0.0,3.0,65663
TRKR1/490129,LCK,2015,Spring,2015-02-14 12:10:47,200,0,team,none,ROX Tigers,none,1,0.0,2.0,8.0,78920
TRKR1/480129,LCK,2015,Spring,2015-02-14 13:14:03,100,1,team,none,ROX Tigers,none,0,0.0,0.0,3.0,52950
TRKR1/480129,LCK,2015,Spring,2015-02-14 13:14:03,200,0,team,none,SK Telecom T1,none,1,0.0,2.0,9.0,68700
TRKR1/480130,LCK,2015,Spring,2015-02-14 14:10:31,100,1,team,none,ROX Tigers,none,1,0.0,2.0,10.0,87443
TRKR1/480130,LCK,2015,Spring,2015-02-14 14:10:31,200,0,team,none,SK Telecom T1,none,0,0.0,0.0,4.0,80154
TRKR1/510071,LCK,2015,Spring,2015-02-25 08:58:59,100,1,team,none,SK Telecom T1,none,1,0.0,1.0,9.0,63389
TRKR1/510071,LCK,2015,Spring,2015-02-25 08:58:59,200,0,team,none,NaJin e-mFire,none,0,0.0,0.0,3.0,52987
TRKR1/500068,LCK,2015,Spring,2015-02-25 10:19:15,100,1,team,none,NaJin e-mFire,none,1,0.0,2.0,11.0,77507
TRKR1/500068,LCK,2015,Spring,2015-02-25 10:19:15,200,0,team,none,SK Telecom T1,none,0,0.0,0.0,3.0,58328
TRKR1/510075,LCK,2015,Spring,2015-02-25 11:16:22,100,1,team,none,SK Telecom T1,none,1,0.0,1.0,10.0,67515
TRKR1/510075,LCK,2015,Spring,2015-02-25 11:16:22,200,0,team,none,NaJin e-mFire,none,0,0.0,0.0,1.0,48969
TRKR1/500100,LCK,2015,Spring,2015-02-27 07:54:08,100,1,team,none,Jin Air Green Wings,none,1,0.0,3.0,9.0,96693
TRKR1/500100,LCK,2015,Spring,2015-02-27 07:54:08,200,0,team,none,Samsung Galaxy,none,0,0.0,1.0,7.0,88518
TRKR1/500102,LCK,2015,Spring,2015-02-27 09:22:21,100,1,team,none,Samsung Galaxy,none,0,0.0,1.0,8.0,90469
TRKR1/500102,LCK,2015,Spring,2015-02-27 09:22:21,200,0,team,none,Jin Air Green Wings,none,1,0.0,2.0,9.0,97341
TRKR1/500108,LCK,2015,Spring,2015-02-27 10:49:22,100,1,team,none,Incredible Miracle,none,0,0.0,1.0,2.0,71877
TRKR1/500108,LCK,2015,Spring,2015-02-27 10:49:22,200,0,team,none,ROX Tigers,none,1,0.0,1.0,10.0,88395
TRKR1/510139,LCK,2015,Spring,2015-02-27 12:06:33,100,1,team,none,ROX Tigers,none,1,0.0,1.0,10.0,64562
TRKR1/510139,LCK,2015,Spring,2015-02-27 12:06:33,200,0,team,none,Incredible Miracle,none,0,0.0,0.0,1.0,46204
TRKR1/500166,LCK,2015,Spring,2015-02-28 07:58:52,100,1,team,none,CJ Entus,none,0,0.0,0.0,3.0,46926
TRKR1/500166,LCK,2015,Spring,2015-02-28 07:58:52,200,0,team,none,SK Telecom T1,none,1,0.0,1.0,9.0,65987
TRKR1/510167,LCK,2015,Spring,2015-02-28 09:04:26,100,1,team,none,SK Telecom T1,none,1,0.0,1.0,9.0,68486
TRKR1/510167,LCK,2015,Spring,2015-02-28 09:04:26,200,0,team,none,CJ Entus,none,0,0.0,0.0,3.0,52810
TRKR1/500174,LCK,2015,Spring,2015-02-28 10:18:46,100,1,team,none,KT Rolster,none,0,0.0,0.0,3.0,66811
