gameid,league,year,split,date,playerid,side,position,player,team,champion,result,dragons,barons,towers
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,10,0,Support,Chei,Jin Air Green Wings,Morgana,1,,,
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,100,1,team,,Samsung Galaxy,,0,0.0,0.0,3.0
TRKR1/440053,LCK,2015,Spring,2015-01-09 10:44:16,200,0,team,,Jin Air Green Wings,,1,0.0,1.0,10.0
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,1,1,Top,TrAce,Jin Air Green Wings,Renekton,0,,,
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,2,1,Jungle,Chaser,Jin Air Green Wings,Jarvan IV,0,,,
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,3,1,Middle,GBM,Jin Air Green Wings,Orianna,0,,,
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,4,1,ADC,Pilot,Jin Air Green Wings,Tristana,0,,,
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,5,1,Support,Chei,Jin Air Green Wings,Janna,0,,,
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,6,0,Top,CuVee,Samsung Galaxy,Kassadin,1,,,
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,7,0,Jungle,Eve,Samsung Galaxy,Lee Sin,1,,,
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,8,0,Middle,BlisS,Samsung Galaxy,Fizz,1,,,
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,9,0,ADC,Fury,Samsung Galaxy,Sivir,1,,,
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,10,0,Support,Wraith,Samsung Galaxy,Syndra,1,,,
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,100,1,team,,Jin Air Green Wings,,0,0.0,1.0,9.0
TRKR1/440055,LCK,2015,Spring,2015-01-09 11:48:35,200,0,team,,Samsung Galaxy,,1,0.0,1.0,9.0
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,1,1,Top,CuVee,Samsung Galaxy,Kassadin,0,,,
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,2,1,Jungle,Eve,Samsung Galaxy,Lee Sin,0,,,
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,3,1,Middle,BlisS,Samsung Galaxy,Fizz,0,,,
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,4,1,ADC,Fury,Samsung Galaxy,Lucian,0,,,
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,5,1,Support,Wraith,Samsung Galaxy,Lulu,0,,,
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,6,0,Top,TrAce,Jin Air Green Wings,Morgana,1,,,
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,7,0,Jungle,Chaser,Jin Air Green Wings,Jarvan IV,1,,,
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,8,0,Middle,GBM,Jin Air Green Wings,Orianna,1,,,
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,9,0,ADC,Pilot,Jin Air Green Wings,Corki,1,,,
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,10,0,Support,Chei,Jin Air Green Wings,Thresh,1,,,
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,100,1,team,,Samsung Galaxy,,0,0.0,0.0,4.0
TRKR1/450078,LCK,2015,Spring,2015-01-09 12:58:58,200,0,team,,Jin Air Green Wings,,1,0.0,1.0,11.0
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,1,1,Top,Duke,NaJin e-mFire,Sion,1,,,
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,2,1,Jungle,Watch,NaJin e-mFire,Jarvan IV,1,,,
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,3,1,Middle,Ggoong,NaJin e-mFire,Ahri,1,,,
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,4,1,ADC,Ohq,NaJin e-mFire,Tristana,1,,,
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,5,1,Support,Cain,NaJin e-mFire,Janna,1,,,
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,6,0,Top,Ssumday,KT Rolster,Rumble,0,,,
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,7,0,Jungle,Score,KT Rolster,Lee Sin,0,,,
TRKR1/440073,LCK,2015,Spring,2015-01-10 07:56:33,8,0,Middle,Nagne,KT Rolster,Yasuo,0,,,
