Year,Season,Player,Team,Pos,W%,KDA,KP,DPM,Laning,Engage,Fight
15,Summer,Ggoong,NaJin e-mFire,Middle,57.0,4.4,71.4,525,0.5105142014306785,0.4991243432574432,0.33913043478260874
15,Summer,GorillA,ROX Tigers,Support,62.0,3.7,76.1,161,0.5694743399813272,0.5814360770577932,0.2782608695652174
15,Summer,Helper,CJ Entus,Top,38.0,2.0,67.9,420,0.43689537090577063,0.43782837127845897,0.13043478260869565
15,Summer,Hojin,ROX Tigers,Jungle,76.0,7.4,75.2,260,0.4206209509264433,0.5656742556917689,0.6
15,Summer,IgNar,Incredible Miracle,Support,29.0,2.5,75.2,122,0.49452849176606084,0.5656742556917689,0.17391304347826086
15,Summer,ikssu,Rebels Anarchy,Top,37.0,2.1,68.9,343,0.4368308378870615,0.4553415061295973,0.1391304347826087
15,Summer,Kuro,ROX Tigers,Middle,62.0,6.0,73.3,573,0.4579883717192785,0.532399299474606,0.4782608695652174
15,Summer,Kuzan,Jin Air Green Wings,Middle,56.0,3.6,66.3,435,0.6421616624086562,0.40980735551663744,0.26956521739130435
15,Summer,Lilac,Incredible Miracle,Jungle,0.0,1.0,78.6,227,0.08333333333333333,0.6252189141856391,0.043478260869565216
15,Summer,Lilac,Incredible Miracle,Top,50.0,2.7,61.4,433,0.3963936778203922,0.3239929947460595,0.19130434782608696
15,Summer,Lira,Rebels Anarchy,Jungle,37.0,2.6,73.3,219,0.6166710009738934,0.532399299474606,0.1826086956521739
15,Summer,Luna,Samsung Galaxy,Support,27.0,1.6,61.6,135,0.4790463842300046,0.32749562171628727,0.09565217391304348
15,Summer,MadLife,CJ Entus,Support,64.0,4.4,74.7,147,0.48876423652179257,0.5569176882661997,0.33913043478260874
15,Summer,MaRin,SK Telecom T1,Top,85.0,4.9,62.0,512,0.7442126609172434,0.3345008756567426,0.3826086956521739
15,Summer,Max,CJ Entus,Support,0.0,0.5,45.0,70,0.3268421536214841,0.036777583187390564,0.0
15,Summer,Mickey,Rebels Anarchy,Middle,37.0,2.2,72.1,561,0.5262958793995518,0.5113835376532399,0.14782608695652175
15,Summer,Nagne,KT Rolster,Middle,67.0,5.1,71.0,553,0.5999527933879575,0.4921190893169878,0.39999999999999997
15,Summer,Neo,Incredible Miracle,Jungle,40.0,1.6,51.1,173,0.6175141508908165,0.14360770577933454,0.09565217391304348
15,Summer,Nuclear,SBENU Korea,ADC,19.0,2.8,75.1,466,0.32699551558830076,0.563922942206655,0.19999999999999998
15,Summer,Ohq,NaJin e-mFire,ADC,58.0,5.7,70.4,532,0.6173457730656301,0.48161120840630484,0.45217391304347826
15,Summer,Paragon,Incredible Miracle,ADC,100.0,12.0,52.2,453,0.31576416217300196,0.16287215411558675,1.0
15,Summer,Peanut,NaJin e-mFire,Jungle,100.0,10.0,71.4,315,0.8725490196078431,0.4991243432574432,0.8260869565217391
15,Summer,Piccaboo,KT Rolster,Support,74.0,4.4,72.1,113,0.5181285132373855,0.5113835376532399,0.33913043478260874
15,Summer,Pilot,Jin Air Green Wings,ADC,54.0,6.3,79.9,494,0.5092298179558498,0.6479859894921192,0.5043478260869565
15,Summer,PraY,ROX Tigers,ADC,62.0,4.5,73.3,571,0.4499198991886675,0.532399299474606,0.34782608695652173
15,Summer,Pure,NaJin e-mFire,Support,58.0,3.3,68.0,123,0.5311396544090726,0.4395796847635727,0.2434782608695652
15,Summer,Roar,Incredible Miracle,ADC,28.0,2.6,68.2,517,0.5120692112567315,0.4430823117338004,0.1826086956521739
15,Summer,Sangyoon,Rebels Anarchy,ADC,37.0,2.6,63.8,466,0.48737547795071356,0.3660245183887916,0.1826086956521739
15,Summer,SaSin,SBENU Korea,Middle,20.0,1.9,69.8,499,0.33922763943888423,0.47110332749562167,0.1217391304347826
15,Summer,Score,KT Rolster,Jungle,64.0,5.7,71.5,211,0.47860189317777874,0.500875656742557,0.45217391304347826
15,Summer,Secret,SBENU Korea,Support,21.0,1.4,68.7,123,0.4888625998635749,0.4518388791593696,0.07826086956521738
15,Summer,Shy,CJ Entus,Top,63.0,4.0,64.3,396,0.5100792177165268,0.37478108581436076,0.30434782608695654
15,Summer,Smeb,ROX Tigers,Top,62.0,4.4,70.4,440,0.6448014394878223,0.48161120840630484,0.33913043478260874
15,Summer,SnowFlower,Rebels Anarchy,Support,37.0,1.9,70.0,144,0.5210641757765581,0.4746059544658494,0.1217391304347826
15,Summer,SoaR,SBENU Korea,Top,0.0,0.6,52.6,261,0.2728052199127922,0.16987740805604207,0.008695652173913042
15,Summer,Sonstar,Incredible Miracle,ADC,22.0,3.8,76.0,571,0.470757100120116,0.5796847635726795,0.28695652173913044
15,Summer,Soul,SBENU Korea,Top,21.0,1.7,67.4,389,0.35879806468041764,0.4290718038528898,0.10434782608695652
15,Summer,Space,CJ Entus,ADC,59.0,3.7,68.8,579,0.5768942248305264,0.4535901926444833,0.2782608695652174
15,Summer,Ssumday,KT Rolster,Top,64.0,5.2,71.0,359,0.623972982926509,0.4921190893169878,0.40869565217391307
15,Summer,Sweet,Jin Air Green Wings,Support,61.0,3.8,74.8,112,0.5470879840558099,0.5586690017513134,0.28695652173913044
15,Summer,Tank,NaJin e-mFire,Middle,100.0,6.0,42.9,498,0.37389043628887636,0.0,0.4782608695652174
15,Summer,Tom,SK Telecom T1,Jungle,100.0,3.7,60.5,170,0.38193339538805904,0.30823117338003503,0.2782608695652174
15,Summer,TrAce,Jin Air Green Wings,Top,52.0,4.2,68.5,365,0.4808235043041673,0.44833625218914186,0.32173913043478264
15,Summer,Trick,CJ Entus,Jungle,43.0,3.4,79.5,277,0.5739823549865799,0.6409807355516638,0.25217391304347825
15,Summer,TusiN,Incredible Miracle,Jungle,29.0,2.7,71.7,242,0.5240881964963863,0.5043782837127847,0.19130434782608696
15,Summer,viviD,SBENU Korea,Support,11.0,1.9,78.7,125,0.5374589823566099,0.6269702276707532,0.1217391304347826
15,Summer,Watch,NaJin e-mFire,Jungle,57.0,3.9,70.1,227,0.5022862902453412,0.4763572679509631,0.2956521739130435
15,Summer,Winged,Jin Air Green Wings,Jungle,50.0,6.7,71.4,129,0.33618886259445246,0.4991243432574432,0.5391304347826087
15,Summer,Wisdom,ROX Tigers,Jungle,52.0,3.1,67.7,225,0.6383755719959815,0.43432574430823123,0.22608695652173913
15,Summer,Wolf,SK Telecom T1,Support,85.0,7.2,70.4,103,0.5728390340025049,0.48161120840630484,0.5826086956521739
15,Summer,Wraith,Samsung Galaxy,Support,48.0,5.0,76.2,108,0.512506657030544,0.5831873905429072,0.391304347826087
16,Spring,Ambition,Samsung Galaxy,Jungle,50.0,3.3,74.1,386,0.8270748250383729,0.6546666666666666,0.43478260869565216
16,Spring,Arrow,KT Rolster,ADC,67.0,5.6,69.7,497,0.6844528935561335,0.5960000000000001,0.7681159420289855
16,Spring,Bang,SK Telecom T1,ADC,63.0,6.3,69.5,590,0.71143440545534,0.5933333333333334,0.8695652173913043
16,Spring,Bdd,CJ Entus,Middle,41.0,3.2,83.3,500,0.5952507353483288,0.7773333333333333,0.4202898550724638
16,Spring,Bengi,SK Telecom T1,Jungle,65.0,3.4,67.3,268,0.39709767069707286,0.564,0.4492753623188406
16,Spring,Blank,SK Telecom T1,Jungle,63.0,5.0,70.7,340,0.6507813128154346,0.6093333333333334,0.6811594202898551
16,Spring,Bubbling,CJ Entus,Jungle,41.0,2.5,67.8,277,0.4081201239447312,0.5706666666666667,0.31884057971014496
16,Spring,Chaser,Longzhu Gaming,Jungle,44.0,3.7,76.0,301,0.6698443676395196,0.68,0.4927536231884058
16,Spring,Chei,Jin Air Green Wings,Support,55.0,3.8,73.5,107,0.6682896643230704,0.6466666666666666,0.5072463768115941
16,Spring,Coco,Longzhu Gaming,Middle,45.0,2.9,68.4,574,0.6069612126987128,0.5786666666666668,0.37681159420289856
16,Spring,CoreJJ,Samsung Galaxy,ADC,50.0,4.2,74.5,460,0.6603926414645062,0.66,0.5652173913043479
16,Spring,Cpt Jack,Longzhu Gaming,ADC,61.0,3.7,62.5,561,0.6338265808630349,0.5,0.4927536231884058
16,Spring,Crash,Longzhu Gaming,Jungle,64.0,2.7,72.6,347,1.0,0.6346666666666666,0.3478260869565218
16,Spring,Crown,Samsung Galaxy,Middle,50.0,3.5,75.1,557,0.6430915993381896,0.6679999999999999,0.463768115942029
16,Spring,Crush,Kongdoo Monster,Jungle,20.0,2.2,71.9,288,0.506236605904632,0.6253333333333334,0.2753623188405797
16,Spring,Crush,e-mFire,Jungle,17.0,1.9,73.1,266,0.5170014495881272,0.6413333333333333,0.23188405797101447
16,Spring,CuVee,Samsung Galaxy,Top,50.0,2.6,67.1,357,0.5391483609704453,0.5613333333333332,0.33333333333333337
16,Spring,Duke,SK Telecom T1,Top,63.0,4.2,65.0,388,0.7783261212181686,0.5333333333333333,0.5652173913043479
16,Spring,Edge,Kongdoo Monster,Middle,20.0,2.9,73.5,553,0.6506371539692037,0.6466666666666666,0.37681159420289856
16,Spring,Edge,e-mFire,Middle,17.0,2.6,70.0,463,0.6119870744142668,0.6,0.33333333333333337
16,Spring,Expession,Longzhu Gaming,Top,50.0,3.6,64.7,345,0.8234065308775461,0.5293333333333333,0.4782608695652174
16,Spring,Faker,SK Telecom T1,Middle,65.0,4.2,74.1,638,0.6953457542684522,0.6546666666666666,0.5652173913043479
16,Spring,Flame,Longzhu Gaming,Top,47.0,3.3,65.2,377,0.7508407342446599,0.536,0.43478260869565216
16,Spring,Flawless,SBENU Korea,Jungle,22.0,1.6,69.8,271,0.503581708475195,0.5973333333333333,0.18840579710144928
16,Spring,Fly,KT Rolster,Middle,67.0,4.6,72.6,497,0.5657035904735025,0.6346666666666666,0.6231884057971014
16,Spring,Frozen,Longzhu Gaming,Middle,60.0,4.7,69.6,482,0.6800207514970671,0.5946666666666666,0.6376811594202899
16,Spring,Fury,Longzhu Gaming,ADC,27.0,3.3,65.7,502,0.599358895051277,0.5426666666666667,0.43478260869565216
16,Spring,GorillA,ROX Tigers,Support,83.0,5.7,72.4,117,0.6741604677406084,0.6320000000000001,0.782608695652174
16,Spring,GuGer,e-mFire,Support,17.0,1.8,75.4,104,0.6278783455748561,0.672,0.21739130434782608
16,Spring,GuGer,Kongdoo Monster,Support,20.0,1.9,72.4,142,0.6352165155096404,0.6320000000000001,0.23188405797101447
16,Spring,Hachani,KT Rolster,Support,68.0,3.9,73.6,121,0.6321751324901239,0.6479999999999999,0.5217391304347826
16,Spring,Hipo,Kongdoo Monster,Top,18.0,1.3,60.8,335,0.536180975868736,0.4773333333333333,0.14492753623188406
16,Spring,Hipo,e-mFire,Top,21.0,1.3,57.7,264,0.26572135868587937,0.43600000000000005,0.14492753623188406
16,Spring,IgNar,KT Rolster,Support,67.0,3.6,72.0,98,0.4437107510081308,0.6266666666666667,0.4782608695652174
16,Spring,ikssu,Afreeca Freecs,Top,52.0,2.8,69.3,380,0.5386359366359778,0.5906666666666667,0.36231884057971014
16,Spring,Kramer,CJ Entus,ADC,41.0,4.9,76.5,617,0.6299492613622416,0.6866666666666666,0.6666666666666667
16,Spring,Kuro,ROX Tigers,Middle,83.0,7.2,68.8,530,0.6554596796738775,0.584,1.0
16,Spring,Kuzan,Jin Air Green Wings,Middle,55.0,4.3,73.2,493,0.7675001462534149,0.6426666666666667,0.5797101449275363
16,Spring,Lira,Afreeca Freecs,Jungle,52.0,3.6,73.7,340,0.6201339901119257,0.6493333333333333,0.4782608695652174
16,Spring,MadLife,CJ Entus,Support,41.0,3.6,78.0,114,0.6222795429760927,0.7066666666666667,0.4782608695652174
16,Spring,Mickey,Afreeca Freecs,Middle,52.0,3.3,69.8,504,0.6650617160913646,0.5973333333333333,0.43478260869565216
16,Spring,Nuclear,SBENU Korea,ADC,22.0,2.8,73.6,413,0.5721631305501745,0.6479999999999999,0.36231884057971014
16,Spring,Peanut,ROX Tigers,Jungle,83.0,6.1,74.2,388,0.7159699426739538,0.656,0.8405797101449275
16,Spring,Pilot,Jin Air Green Wings,ADC,55.0,5.4,73.7,455,0.6255996420546901,0.6493333333333333,0.7391304347826088
16,Spring,PraY,ROX Tigers,ADC,83.0,6.5,68.3,537,0.6573140691632705,0.5773333333333333,0.8985507246376812
16,Spring,Pure,Longzhu Gaming,Support,49.0,4.3,72.1,112,0.5754384925716497,0.6279999999999999,0.5797101449275363
16,Spring,Roach,e-mFire,Top,0.0,1.2,69.2,300,0.3344114418575604,0.5893333333333334,0.13043478260869562
16,Spring,Roach,Kongdoo Monster,Top,33.0,0.7,40.0,378,0.02628810176257654,0.2,0.05797101449275362
16,Spring,Sangyoon,Afreeca Freecs,ADC,52.0,5.3,74.7,523,0.6435089701483854,0.6626666666666667,0.7246376811594203
16,Spring,SaSin,SBENU Korea,Middle,22.0,2.0,76.0,528,0.5189954973489355,0.68,0.24637681159420288
16,Spring,Score,KT Rolster,Jungle,67.0,4.6,76.8,369,0.7065417289999333,0.6906666666666667,0.6231884057971014
16,Spring,Scout,SK Telecom T1,Middle,0.0,1.0,100.0,379,0.5095972691871758,1.0,0.10144927536231883
16,Spring,Secret,SBENU Korea,Support,22.0,2.0,72.9,109,0.6803334406876145,0.6386666666666667,0.24637681159420288
16,Spring,Sky,CJ Entus,Middle,42.0,2.8,69.8,462,0.5355695755280115,0.5973333333333333,0.36231884057971014
16,Spring,Smeb,ROX Tigers,Top,83.0,5.4,67.0,507,0.8089968648234542,0.56,0.7391304347826088
16,Spring,SnowFlower,Afreeca Freecs,Support,52.0,4.1,77.6,141,0.6580856358221167,0.7013333333333333,0.5507246376811593
16,Spring,SoaR,SBENU Korea,Top,20.0,2.1,65.6,309,0.7525605258104404,0.5413333333333332,0.2608695652173913
16,Spring,SoHwan,Jin Air Green Wings,Top,0.0,0.3,25.0,198,0.05655836341756918,0.0,0.0
