Year,Season,Champion,Pos,GP,P+B%,W%
16,Spring,Rumble,Jungle,5,2.8,40
16,Spring,Rumble,Top,1,2.8,100
16,Spring,Ryze,Middle,5,59.1,60
16,Spring,Ryze,Top,11,59.1,64
16,Spring,Sejuani,Jungle,1,0.5,0
16,Spring,Shen,Support,3,1.9,67
16,Spring,Shen,Top,1,1.9,0
16,Spring,Sivir,ADC,50,32.1,64
16,Spring,Syndra,Middle,2,0.9,50
16,Spring,Tahm Kench,Support,4,17.2,75
16,Spring,Tahm Kench,Top,18,17.2,28
16,Spring,Thresh,Support,43,23.3,51
16,Spring,Tristana,ADC,11,5.1,45
16,Spring,Trundle,Support,79,52.6,61
16,Spring,Trundle,Top,10,52.6,50
16,Spring,Twisted Fate,Middle,27,38.6,67
16,Spring,Twitch,ADC,1,0.5,0
16,Spring,Udyr,Jungle,2,0.9,0
16,Spring,Varus,ADC,1,32.1,0
16,Spring,Varus,Middle,27,32.1,59
16,Spring,Vayne,ADC,3,1.4,67
16,Spring,Vel'Koz,Middle,1,0.5,0
16,Spring,Viktor,Middle,53,31.6,42
16,Spring,Yasuo,Middle,1,0.5,0
16,Spring,Zed,Middle,5,20.9,40
16,Spring,Zilean,Middle,15,11.2,53
16,Summer,Ahri,Middle,1,0.5,0
16,Summer,Alistar,Support,67,38.7,48
16,Summer,Amumu,Jungle,2,0.9,50
16,Summer,Anivia,Middle,13,9.0,62
16,Summer,Ashe,ADC,90,64.2,52
16,Summer,Aurelion Sol,Middle,8,10.8,75
16,Summer,Azir,Middle,51,50.9,49
16,Summer,Bard,Support,53,32.5,42
16,Summer,Blitzcrank,Support,1,0.5,0
16,Summer,Braum,Support,91,43.9,43
16,Summer,Caitlyn,ADC,15,9.4,33
16,Summer,Cassiopeia,Middle,9,5.2,33
16,Summer,Corki,ADC,1,0.5,100
16,Summer,Ekko,Jungle,1,39.2,0
16,Summer,Ekko,Middle,1,39.2,100
16,Summer,Ekko,Top,66,39.2,56
16,Summer,Elise,Jungle,98,59.9,42
16,Summer,Ezreal,ADC,52,28.8,52
16,Summer,Fiora,Top,8,9.4,38
16,Summer,Fizz,Middle,3,4.2,33
16,Summer,Fizz,Top,6,4.2,33
16,Summer,Gangplank,Top,39,40.1,62
16,Summer,Gnar,Top,60,34.0,42
16,Summer,Gragas,Jungle,76,57.1,61
16,Summer,Gragas,Top,4,57.1,25
16,Summer,Graves,Jungle,43,20.3,40
16,Summer,Hecarim,Jungle,19,32.5,58
16,Summer,Hecarim,Top,7,32.5,57
16,Summer,Irelia,Top,28,18.4,50
16,Summer,Janna,Support,1,0.5,0
16,Summer,Jayce,Middle,1,0.5,0
16,Summer,Jhin,ADC,66,36.8,50
16,Summer,Jinx,ADC,1,0.5,0
16,Summer,Kalista,ADC,16,7.5,56
16,Summer,Karma,Middle,42,53.3,48
16,Summer,Karma,Support,46,53.3,57
16,Summer,Kassadin,Middle,5,2.4,20
16,Summer,Kha'Zix,Jungle,1,0.5,0
16,Summer,Kindred,Jungle,33,36.8,42
16,Summer,Kog'Maw,ADC,10,5.2,60
16,Summer,LeBlanc,Middle,29,24.1,48
16,Summer,Lee Sin,Jungle,7,3.3,57
16,Summer,Leona,Support,1,0.5,0
16,Summer,Lissandra,Middle,17,14.2,65
16,Summer,Lissandra,Top,1,14.2,0
16,Summer,Lucian,ADC,56,35.4,43
16,Summer,Lucian,Middle,1,35.4,0
16,Summer,Lulu,Middle,2,0.9,0
16,Summer,Malzahar,Middle,22,26.9,73
16,Summer,Malzahar,Top,3,26.9,67
16,Summer,Maokai,Top,40,22.6,50
16,Summer,Miss Fortune,ADC,1,0.5,100
16,Summer,Nami,Support,40,19.3,55
16,Summer,Nidalee,Jungle,38,93.9,55
16,Summer,Pantheon,Middle,1,0.5,100
16,Summer,Poppy,Top,6,2.8,33
16,Summer,Rek'Sai,Jungle,105,65.6,54
16,Summer,Renekton,Top,5,2.4,40
16,Summer,Rumble,Top,13,7.1,54
16,Summer,Ryze,Middle,16,54.7,44
16,Summer,Ryze,Top,6,54.7,33
16,Summer,Sejuani,Jungle,1,0.5,0
16,Summer,Shen,Top,51,53.8,51
16,Summer,Sivir,ADC,108,70.8,54
16,Summer,Soraka,Support,8,3.8,63
16,Summer,Swain,Middle,4,12.3,25
16,Summer,Swain,Top,13,12.3,38
16,Summer,Syndra,Middle,2,0.9,0
16,Summer,Tahm Kench,Support,36,24.5,56
16,Summer,Tahm Kench,Top,6,24.5,50
16,Summer,Taliyah,Middle,10,18.4,70
16,Summer,Taric,Support,33,17.9,58
16,Summer,Teemo,Top,2,0.9,0
16,Summer,Thresh,Support,12,7.5,58
16,Summer,Tristana,ADC,2,0.9,0
16,Summer,Trundle,Support,32,57.5,59
16,Summer,Trundle,Top,56,57.5,57
16,Summer,Twisted Fate,Middle,18,28.8,33
16,Summer,Twitch,ADC,6,3.3,17
16,Summer,Varus,Middle,36,44.8,58
16,Summer,Veigar,Middle,2,1.4,0
16,Summer,Viktor,Middle,71,41.5,52
16,Summer,Vladimir,Middle,57,71.7,42
16,Summer,Vladimir,Top,1,71.7,0
16,Summer,Yasuo,Top,3,1.4,33
16,Summer,Zilean,Middle,2,4.7,100
16,Summer,Zyra,Support,3,1.4,33
17,Spring,Ahri,Middle,28,20.7,61
17,Spring,Alistar,Support,1,0.5,0
17,Spring,Ashe,ADC,120,77.5,48
17,Spring,Aurelion Sol,Middle,6,10.4,67
17,Spring,Azir,Middle,3,1.4,67
17,Spring,Bard,Support,4,2.3,0
17,Spring,Brand,Support,4,1.8,75
17,Spring,Braum,Support,12,5.9,42
17,Spring,Caitlyn,ADC,30,16.2,47
17,Spring,Camille,Support,1,100.0,100
17,Spring,Camille,Top,20,100.0,65
17,Spring,Cassiopeia,Middle,35,38.7,40
17,Spring,Corki,Middle,61,33.8,54
17,Spring,Dr. Mundo,Top,3,1.8,0
17,Spring,Ekko,Middle,10,14.4,30
17,Spring,Ekko,Top,3,14.4,0
17,Spring,Elise,Jungle,75,52.3,44
17,Spring,Elise,Support,1,52.3,100
17,Spring,Ezreal,ADC,71,37.4,49
17,Spring,Fiora,Top,4,3.2,50
17,Spring,Fizz,Top,4,5.4,50
17,Spring,Gangplank,Top,10,8.6,50
17,Spring,Gragas,Jungle,8,15.8,38
17,Spring,Gragas,Top,21,15.8,19
17,Spring,Graves,Jungle,88,64.9,55
17,Spring,Ivern,Jungle,1,1.4,100
17,Spring,Jax,Top,1,0.5,0
17,Spring,Jayce,Middle,22,57.7,36
17,Spring,Jayce,Top,16,57.7,50
17,Spring,Jhin,ADC,107,59.0,53
17,Spring,Kalista,ADC,1,0.5,100
17,Spring,Karma,Support,104,61.7,41
17,Spring,Katarina,Middle,5,6.3,60
17,Spring,Kayle,Support,1,0.5,0
17,Spring,Kennen,Top,17,25.7,35
