"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Wukong","Jungle",1,"0.5%","29.4%","51.7%","0%","100%",0,3,2,0.7,"66.7%","15.8%","0%",-157,-532,-9,4.9,"13.9%",109,"6.2%","14.7%",0.4,0.53
"Wukong","Support",6,"2.8%","29.4%","51.7%","67%","50%",24,14,36,4.3,"64.5%","25.0%","0%",1019,549,58,7.3,"22.2%",350,"16.0%","20.6%",0.38,0.24
"Wukong","Top",39,"18.5%","29.4%","51.7%","59%","51%",132,108,172,2.8,"60.4%","25.4%","18%",-137,-156,-7.6,7.9,"25.2%",384,"21.4%","23.3%",0.38,0.19
"Xayah","ADC",7,"3.3%","0.0%","3.3%","43%","100%",19,13,27,3.5,"75.4%","19.7%","14%",-194,-150,-3.6,10.7,"35.3%",474,"28.9%","29.0%",0.49,0.36
"Yasuo","ADC",1,"0.5%","0.5%","0.9%","100%","100%",4,3,9,4.3,"59.1%","25.0%","0%",-443,-521,-25,8,"28.1%",302,"11.6%","21.9%",0.43,0.14
"Yuumi","Support",20,"9.5%","19.0%","28.4%","40%","35%",20,26,141,6.2,"78.2%","10.7%","10%",-159,39,-4.2,0.8,"1.8%",288,"15.9%","8.9%",1.34,0.11
"Zed","Middle",1,"0.5%","0.0%","0.5%","0%","100%",4,5,1,1,"45.5%","20.0%","0%",584,94,-9,7.6,"25.6%",300,"21.3%","23.5%",0.3,0.26
"Ziggs","ADC",2,"0.9%","0.0%","1.4%","100%","100%",10,1,14,24,"61.5%","5.0%","0%",-71,103,4,10.3,"29.3%",774,"34.9%","26.5%",0.46,0.15
"Ziggs","Middle",1,"0.5%","0.0%","1.4%","100%","100%",5,0,2,7,"70.0%","0.0%","0%",-437,7,12,11.9,"30.8%",833,"47.8%","29.8%",0.48,0.24
"Zilean","Support",2,"0.9%","0.5%","1.4%","50%","100%",0,1,16,16,"80.0%","5.0%","50%",196,480,4,1.1,"2.7%",91,"4.5%","8.3%",1.73,0.39
"Zoe","Middle",63,"29.9%","30.3%","60.2%","59%","33%",199,104,359,5.4,"65.3%","15.3%","21%",55,29,-0.7,8.2,"23.3%",555,"27.4%","22.6%",0.47,0.18
"Zyra","Support",2,"0.9%","0.0%","0.9%","0%","50%",1,4,5,1.5,"75.0%","12.9%","0%",17,190,-8.5,0.9,"3.5%",365,"22.6%","8.8%",2.34,0.49
