"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nocturne","Jungle",44,"20.2%","50.0%","70.2%","61%","26%",87,102,204,2.9,"61.8%","24.8%","32%",121,284,5.1,5.7,"15.5%",236,"13.8%","17.7%",0.39,0.42
"Nunu & Willump","Jungle",5,"2.3%","0.5%","2.8%","20%","80%",1,16,27,1.8,"73.7%","24.2%","20%",-1289,-1135,-55.6,2.2,"6.6%",67,"4.4%","10.5%",0.9,0.37
"Olaf","Jungle",6,"2.8%","1.8%","4.6%","33%","67%",7,15,28,2.3,"71.4%","26.3%","50%",560,443,12,5,"12.2%",203,"14.3%","16.4%",1.02,0.45
"Orianna","ADC",2,"0.9%","8.3%","24.3%","100%","0%",3,0,5,8,"57.1%","0.0%","0%",-255,-300,-13,10.6,"29.0%",341,"23.7%","23.4%",0.43,0.27
"Orianna","Middle",33,"15.1%","8.3%","24.3%","36%","40%",45,42,125,4,"71.1%","15.2%","15%",2,-17,3.9,9.8,"27.4%",370,"23.9%","24.3%",0.51,0.25
"Ornn","Middle",1,"0.5%","5.0%","21.1%","0%","100%",2,3,2,1.3,"100.0%","25.0%","100%",422,487,-2,6.8,"19.0%",462,"30.2%","21.8%",0.39,0.32
"Ornn","Support",4,"1.8%","5.0%","21.1%","75%","75%",7,8,22,3.6,"67.4%","17.8%","0%",381,41,16.8,3.3,"9.1%",196,"12.3%","13.2%",1.33,0.42
"Ornn","Top",30,"13.8%","5.0%","21.1%","37%","62%",36,52,112,2.8,"64.9%","19.3%","13%",-81,38,-1.2,8.1,"22.8%",325,"21.3%","20.8%",0.46,0.14
"Poppy","Middle",1,"0.5%","0.0%","0.5%","100%","100%",5,3,3,2.7,"61.5%","42.9%","100%",-2,-133,-1,9.1,"24.4%",391,"21.5%","22.7%",0.43,0.23
"Pyke","Support",22,"10.1%","10.6%","20.6%","45%","86%",39,33,87,3.8,"62.1%","18.1%","41%",106,-112,2.6,2.1,"6.5%",114,"7.7%","10.9%",1.65,0.58
"Quinn","Top",1,"0.5%","0.0%","0.5%","0%","100%",3,3,5,2.7,"61.5%","27.3%","0%",282,116,-1,10.3,"30.9%",394,"22.9%","26.3%",0.36,0.16
"Rakan","Jungle",4,"1.8%","50.9%","72.0%","100%","25%",1,5,37,7.6,"77.6%","22.7%","25%",-1007,-744,-50.5,0.9,"3.4%",81,"5.1%","12.0%",1.37,0.57
"Rakan","Support",42,"19.3%","50.9%","72.0%","50%","35%",21,86,244,3.1,"75.9%","22.4%","21%",-60,-106,-10.5,0.7,"2.6%",127,"7.8%","9.8%",1.57,0.53
"Renekton","Middle",1,"0.5%","3.2%","5.5%","100%","100%",7,1,4,11,"73.3%","16.7%","100%",335,-147,2,9,"27.9%",608,"20.1%","26.3%",0.56,0.1
"Renekton","Top",4,"1.8%","3.2%","5.5%","50%","100%",10,9,14,2.7,"64.9%","24.3%","25%",683,441,23.3,9.7,"29.0%",382,"24.6%","25.9%",0.46,0.23
"Rengar","Jungle",5,"2.3%","0.5%","2.8%","40%","80%",7,13,14,1.6,"56.8%","27.1%","40%",-1,-3,1,5.8,"16.9%",210,"13.0%","18.2%",0.28,0.41
"Rumble","Middle",2,"0.9%","2.3%","4.6%","50%","50%",1,3,6,2.3,"70.0%","15.0%","50%",337,845,13.5,9.8,"24.5%",616,"24.3%","22.7%",0.4,0.26
"Rumble","Top",3,"1.4%","2.3%","4.6%","33%","67%",2,9,12,1.6,"63.6%","23.1%","33%",-178,-333,4.3,8.2,"23.3%",299,"21.5%","21.1%",0.49,0.07
"Ryze","ADC",13,"6.0%","10.1%","33.0%","54%","69%",27,15,60,5.8,"69.6%","11.4%","31%",-147,-6,0.1,9.7,"31.0%",380,"23.9%","25.8%",0.41,0.21
"Ryze","Middle",29,"13.3%","10.1%","33.0%","45%","76%",46,57,62,1.9,"56.8%","21.6%","21%",-17,-58,-0.6,10.2,"28.2%",383,"23.3%","25.0%",0.53,0.19
"Ryze","Top",8,"3.7%","10.1%","33.0%","38%","57%",15,19,18,1.7,"52.4%","22.1%","13%",59,-31,-1.1,10,"29.6%",400,"22.1%","25.7%",0.56,0.16
"Sejuani","Jungle",75,"34.4%","11.5%","46.3%","60%","29%",84,123,440,4.3,"75.8%","20.3%","49%",12,53,-0.5,4.9,"11.8%",174,"10.3%","15.9%",0.52,0.47
"Sejuani","Support",1,"0.5%","11.5%","46.3%","0%","0%",0,2,2,1,"50.0%","15.4%","0%",-133,8,10,2,"6.2%",72,"9.1%","6.5%",1.98,0.61
"Shen","Support",73,"33.5%","34.9%","70.2%","58%","22%",64,129,466,4.1,"71.6%","20.0%","30%",20,93,5.6,2.3,"7.2%",99,"6.0%","10.7%",1.64,0.5
"Shen","Top",4,"1.8%","34.9%","70.2%","25%","50%",8,8,20,3.5,"71.8%","13.8%","25%",-265,-277,-7.8,7.8,"24.4%",187,"12.3%","22.1%",0.47,0.15
"Singed","Top",10,"4.6%","4.6%","9.2%","50%","80%",15,26,57,2.8,"62.6%","22.4%","50%",-307,-352,-7.2,8.4,"25.4%",366,"22.4%","20.2%",0.43,0.1
"Sion","-",0,"0%","1.4%","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Skarner","Jungle",25,"11.5%","6.9%","18.3%","44%","71%",27,45,121,3.3,"70.8%","19.7%","24%",12,-6,4.3,4.6,"11.2%",108,"7.1%","15.5%",1.02,0.38
"Soraka","ADC",1,"0.5%","15.6%","22.9%","0%","0%",2,2,5,3.5,"50.0%","10.5%","0%",-984,-2005,-39,7.2,"20.9%",300,"19.6%","20.7%",0.5,0.09
"Soraka","Support",15,"6.9%","15.6%","22.9%","67%","67%",7,18,114,6.7,"78.1%","19.6%","27%",-18,15,-9,0.6,"2.3%",187,"10.7%","8.9%",1.21,0.36
"Swain","ADC",33,"15.1%","31.2%","67.4%","58%","0%",67,59,199,4.5,"69.5%","20.6%","36%",-45,-26,-2.3,8.9,"25.8%",421,"26.2%","22.3%",0.43,0.22
"Swain","Middle",40,"18.3%","31.2%","67.4%","60%","13%",106,62,203,5,"76.5%","20.1%","28%",-57,-8,-0.3,9,"24.4%",433,"25.9%","22.9%",0.51,0.23
"Swain","Top",6,"2.8%","31.2%","67.4%","50%","17%",14,12,20,2.8,"73.9%","26.1%","33%",58,167,-0.5,8.5,"23.6%",502,"30.7%","21.9%",0.5,0.12
"Syndra","Middle",7,"3.2%","2.8%","6.0%","29%","100%",7,14,31,2.7,"64.4%","17.1%","29%",187,-218,5.4,9.4,"26.6%",456,"30.9%","23.5%",0.5,0.23
"Tahm Kench","Support",85,"39.0%","35.3%","74.3%","53%","45%",51,157,434,3.1,"63.5%","23.2%","16%",5,45,3.1,2.1,"6.4%",102,"6.0%","10.3%",1.55,0.31
